term,domain,z,delta,count_domain,count_total,docfreq_domain,docfreq_total,ngram_len
process,CCE,12.713228175473283,1.5334998094383732,239.0,334.0,188,264,1
materials,CCE,12.438475602127605,1.1249992938285747,323.0,517.0,166,289,1
processes,CCE,11.667611632247118,1.8734062202646395,174.0,223.0,143,183,1
molecular,CCE,11.18188103148717,1.4812899587877961,191.0,271.0,114,163,1
adsorption,CCE,10.128403717370807,3.3709512279429843,150.0,159.0,60,64,1
surface,CCE,10.107838511087724,1.0398493676684328,237.0,392.0,110,181,1
energy,CCE,9.6203733924836,0.9091178188305058,260.0,454.0,150,277,1
water,CCE,9.187730169415202,2.1808609144654163,102.0,123.0,40,53,1
growth,CCE,8.891034731313711,1.4421731515104685,124.0,178.0,58,91,1
chemical,CCE,8.548021561636402,1.3378215322341793,124.0,184.0,70,106,1
hydrogen,CCE,7.900861425361732,1.6010039407591625,89.0,122.0,32,40,1
surfaces,CCE,7.7848557929284565,1.7434294413828137,81.0,107.0,47,68,1
simulations,CCE,7.694478330762145,0.9417883503544271,158.0,272.0,101,188,1
were,CCE,7.5668258309215295,1.2025894868777742,110.0,171.0,67,105,1
molecules,CCE,7.5006294240672595,2.180535069350295,68.0,82.0,45,54,1
metal,CCE,7.351363435391481,1.2846776923855598,96.0,145.0,56,92,1
separation,CCE,7.324888553284763,1.8100667818232816,70.0,91.0,54,71,1
reaction,CCE,7.283124609616698,2.0684240493809822,65.0,80.0,45,55,1
electron,CCE,7.144287079558142,0.9198094527478009,141.0,245.0,82,150,1
films,CCE,7.134926422661367,1.153728563036144,103.0,163.0,43,73,1
experimental,CCE,7.029575590245812,0.821073835268578,162.0,294.0,115,229,1
oxide,CCE,7.0208935498560665,1.5326622363807942,73.0,102.0,36,53,1
processing,CCE,6.9277199954564885,1.1942805759343695,93.0,145.0,68,106,1
formation,CCE,6.844332978125258,1.0112170447930575,113.0,189.0,74,123,1
fabrication,CCE,6.748102130469581,2.5201799369520144,55.0,63.0,38,45,1
material,CCE,6.596300159044268,0.931539491272682,118.0,204.0,88,160,1
chemistry,CCE,6.565104856027991,1.9537813301759703,54.0,68.0,39,51,1
was,CCE,6.381663194044236,1.0523537513447039,93.0,153.0,56,101,1
molecular dynamics,CCE,6.351842024276622,1.5257531373301738,60.0,84.0,47,64,2
device,CCE,6.232590914065831,1.652509639862159,54.0,73.0,41,54,1
organic,CCE,6.185747747517373,2.0544063725600896,47.0,58.0,27,33,1
thermal,CCE,6.165713690882501,0.7624085280654427,140.0,261.0,59,113,1
oxygen,CCE,5.996460710024866,1.2335557780210564,67.0,103.0,31,45,1
laser,CCE,5.979467043944776,1.5644783094209567,52.0,72.0,26,37,1
grain,CCE,5.964598425005813,1.629849907356359,50.0,68.0,21,31,1
x-ray,CCE,5.921652036195255,1.0942238618737834,76.0,123.0,47,81,1
electrochemical,CCE,5.915327809301908,2.387222913460776,42.0,49.0,22,27,1
deposition,CCE,5.9075722120374765,1.8470636154830808,45.0,58.0,31,39,1
reactions,CCE,5.700023901594503,2.314716547498504,39.0,46.0,26,29,1
functional,CCE,5.660826985936067,0.811504497589163,107.0,195.0,83,154,1
technologies,CCE,5.629874330488538,1.4069540057113974,51.0,74.0,37,57,1
nucleation,CCE,5.549895599011959,3.2273796374997605,43.0,46.0,23,26,1
characterization,CCE,5.533849112984784,1.3873376579363779,50.0,73.0,43,64,1
properties,CCE,5.473759856958467,0.5223092406107543,208.0,437.0,142,301,1
applications,CCE,5.385563367804956,0.6916865192785631,125.0,241.0,110,215,1
irradiation,CCE,5.302953695203425,2.1802093574031476,34.0,41.0,18,22,1
potentials,CCE,5.287707849734105,1.5500165085910407,41.0,57.0,30,43,1
amorphous,CCE,5.2436062909378744,1.3047319777334305,48.0,72.0,25,38,1
alloy,CCE,5.235730577950116,1.791656530448857,36.0,47.0,24,32,1
potential,CCE,5.23237372018592,0.6321411555148106,137.0,272.0,105,212,1
density functional,CCE,5.222045268426914,1.0435197970261987,63.0,104.0,56,95,2
diffraction,CCE,5.215616613054527,1.154575699686422,55.0,87.0,39,63,1
development,CCE,5.161104930885881,1.0904626609409371,58.0,94.0,48,79,1
here,CCE,5.135434192427878,0.5360193464908374,175.0,365.0,173,362,1
interfaces,CCE,5.115802104579017,1.1363738123127556,54.0,86.0,36,62,1
spectroscopy,CCE,5.084160707945202,0.7634449070388021,95.0,177.0,64,125,1
perovskite,CCE,5.08143651360985,1.5005282122051833,39.0,55.0,17,27,1
optical,CCE,5.077377259214367,0.7037965950833307,108.0,207.0,58,115,1
manufacturing,CCE,5.067947418318676,3.540305610528857,40.0,42.0,22,24,1
damage,CCE,5.065835607088616,1.5805166239325725,37.0,51.0,13,21,1
synthesis,CCE,5.034485478960818,0.9482279675149581,67.0,115.0,35,67,1
defect,CCE,5.014561348538224,1.117830476365727,53.0,85.0,30,53,1
high,CCE,5.012303786833963,0.5719898943985005,149.0,305.0,100,214,1
microstructure,CCE,5.001035608858551,1.8733653279670213,32.0,41.0,24,32,1
carbon,CCE,5.001035608858551,1.8733653279670213,32.0,41.0,20,26,1
kinetic,CCE,4.989509552367663,1.4090189160170254,40.0,58.0,31,43,1
species,CCE,4.986971357350557,2.2086072100753302,30.0,36.0,24,28,1
plasma,CCE,4.986971357350557,2.2086072100753302,30.0,36.0,14,19,1
effects,CCE,4.983338956406847,0.7544903631565116,93.0,174.0,62,130,1
molecule,CCE,4.976279231714738,1.9581162282325995,31.0,39.0,19,25,1
